"Id","ActivityDate","Hour","StepTotal"
4702921684,2016-04-18,"n-PM1",230
4702921684,2016-04-18,"o-PM2",253
4702921684,2016-04-18,"p-PM3",116
4702921684,2016-04-18,"q-PM4",221
4702921684,2016-04-18,"r-PM5",338
4702921684,2016-04-18,"s-PM6",2146
4702921684,2016-04-18,"t-PM7",1263
4702921684,2016-04-18,"u-PM8",865
4702921684,2016-04-18,"v-PM9",313
4702921684,2016-04-18,"w-PM10",0
4702921684,2016-04-18,"x-PM11",0
4702921684,2016-04-19,"a-AM12",0
4702921684,2016-04-19,"b-AM1",0
4702921684,2016-04-19,"c-AM2",0
4702921684,2016-04-19,"d-AM3",0
4702921684,2016-04-19,"e-AM4",0
4702921684,2016-04-19,"f-AM5",7
4702921684,2016-04-19,"g-AM6",680
4702921684,2016-04-19,"h-AM7",217
4702921684,2016-04-19,"i-AM8",324
4702921684,2016-04-19,"j-AM9",1168
4702921684,2016-04-19,"k-AM10",0
4702921684,2016-04-19,"l-AM11",102
4702921684,2016-04-19,"m-PM12",1000
4702921684,2016-04-19,"n-PM1",49
4702921684,2016-04-19,"o-PM2",216
4702921684,2016-04-19,"p-PM3",37
4702921684,2016-04-19,"q-PM4",395
4702921684,2016-04-19,"r-PM5",860
4702921684,2016-04-19,"s-PM6",483
4702921684,2016-04-19,"t-PM7",248
4702921684,2016-04-19,"u-PM8",336
4702921684,2016-04-19,"v-PM9",586
4702921684,2016-04-19,"w-PM10",0
4702921684,2016-04-19,"x-PM11",0
4702921684,2016-04-20,"a-AM12",0
4702921684,2016-04-20,"b-AM1",7
4702921684,2016-04-20,"c-AM2",0
4702921684,2016-04-20,"d-AM3",0
4702921684,2016-04-20,"e-AM4",0
4702921684,2016-04-20,"f-AM5",15
4702921684,2016-04-20,"g-AM6",1047
4702921684,2016-04-20,"h-AM7",494
4702921684,2016-04-20,"i-AM8",2
4702921684,2016-04-20,"j-AM9",662
4702921684,2016-04-20,"k-AM10",26
4702921684,2016-04-20,"l-AM11",903
4702921684,2016-04-20,"m-PM12",136
4702921684,2016-04-20,"n-PM1",139
4702921684,2016-04-20,"o-PM2",97
4702921684,2016-04-20,"p-PM3",168
4702921684,2016-04-20,"q-PM4",123
4702921684,2016-04-20,"r-PM5",943
4702921684,2016-04-20,"s-PM6",552
4702921684,2016-04-20,"t-PM7",886
4702921684,2016-04-20,"u-PM8",1072
4702921684,2016-04-20,"v-PM9",935
4702921684,2016-04-20,"w-PM10",586
4702921684,2016-04-20,"x-PM11",0
4702921684,2016-04-21,"a-AM12",0
4702921684,2016-04-21,"b-AM1",0
4702921684,2016-04-21,"c-AM2",0
4702921684,2016-04-21,"d-AM3",0
4702921684,2016-04-21,"e-AM4",7
4702921684,2016-04-21,"f-AM5",28
4702921684,2016-04-21,"g-AM6",1407
4702921684,2016-04-21,"h-AM7",760
4702921684,2016-04-21,"i-AM8",82
4702921684,2016-04-21,"j-AM9",0
4702921684,2016-04-21,"k-AM10",0
4702921684,2016-04-21,"l-AM11",0
4702921684,2016-04-21,"m-PM12",214
4702921684,2016-04-21,"n-PM1",112
4702921684,2016-04-21,"o-PM2",185
4702921684,2016-04-21,"p-PM3",124
4702921684,2016-04-21,"q-PM4",215
4702921684,2016-04-21,"r-PM5",1439
4702921684,2016-04-21,"s-PM6",608
4702921684,2016-04-21,"t-PM7",806
4702921684,2016-04-21,"u-PM8",543
4702921684,2016-04-21,"v-PM9",0
4702921684,2016-04-21,"w-PM10",0
4702921684,2016-04-21,"x-PM11",0
4702921684,2016-04-22,"a-AM12",0
4702921684,2016-04-22,"b-AM1",0
4702921684,2016-04-22,"c-AM2",0
4702921684,2016-04-22,"d-AM3",0
4702921684,2016-04-22,"e-AM4",0
4702921684,2016-04-22,"f-AM5",0
4702921684,2016-04-22,"g-AM6",0
4702921684,2016-04-22,"h-AM7",0
4702921684,2016-04-22,"i-AM8",0
4702921684,2016-04-22,"j-AM9",0
4702921684,2016-04-22,"k-AM10",0
4702921684,2016-04-22,"l-AM11",0
4702921684,2016-04-22,"m-PM12",0
4702921684,2016-04-22,"n-PM1",0
4702921684,2016-04-22,"o-PM2",0
4702921684,2016-04-22,"p-PM3",0
4702921684,2016-04-22,"q-PM4",0
4702921684,2016-04-22,"r-PM5",0
4702921684,2016-04-22,"s-PM6",0
4702921684,2016-04-22,"t-PM7",0
4702921684,2016-04-22,"u-PM8",368
4702921684,2016-04-22,"v-PM9",939
4702921684,2016-04-22,"w-PM10",357
4702921684,2016-04-22,"x-PM11",0
4702921684,2016-04-23,"a-AM12",0
4702921684,2016-04-23,"b-AM1",0
4702921684,2016-04-23,"c-AM2",0
4702921684,2016-04-23,"d-AM3",0
4702921684,2016-04-23,"e-AM4",0
4702921684,2016-04-23,"f-AM5",0
4702921684,2016-04-23,"g-AM6",0
4702921684,2016-04-23,"h-AM7",156
4702921684,2016-04-23,"i-AM8",247
4702921684,2016-04-23,"j-AM9",1616
4702921684,2016-04-23,"k-AM10",786
4702921684,2016-04-23,"l-AM11",2196
4702921684,2016-04-23,"m-PM12",1615
4702921684,2016-04-23,"n-PM1",1259
4702921684,2016-04-23,"o-PM2",964
4702921684,2016-04-23,"p-PM3",1411
4702921684,2016-04-23,"q-PM4",856
4702921684,2016-04-23,"r-PM5",869
4702921684,2016-04-23,"s-PM6",337
4702921684,2016-04-23,"t-PM7",652
4702921684,2016-04-23,"u-PM8",616
4702921684,2016-04-23,"v-PM9",1272
4702921684,2016-04-23,"w-PM10",274
4702921684,2016-04-23,"x-PM11",0
4702921684,2016-04-24,"a-AM12",0
4702921684,2016-04-24,"b-AM1",0
4702921684,2016-04-24,"c-AM2",0
4702921684,2016-04-24,"d-AM3",4
4702921684,2016-04-24,"e-AM4",0
